date_extraction,activite,activite_emprunteur,activite_emprunteur_bus,activite_emprunteur_med,activite_salle_etude,activite_utilisateur_postes_informatiques,activite_utilisateur_wifi,Tranches d’âge (1),Tranches d’âge (2),Roubaisien ou non,Code IRIS de Roubaix,Nom de l’IRIS à Roubaix,Commune de résidence,inscription_attribut_action,inscription_attribut_zebre,inscription_carte,nombre d’années d’adhésion,type_inscription,nb_venues,nb_venues_postes_informatiques,nb_venues_prets,nb_venues_prets_bus,nb_venues_prets_mediatheque,nb_venues_salle_etude,nb_venues_wifi,sexe,geo_point_2d
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,40 - 54 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque,13,gratuite,7.0,0.0,7.0,0.0,7.0,0.0,0.0,Homme,
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,55 - 64 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque Plus (17 €),13,payante,24.0,0.0,24.0,0.0,24.0,0.0,0.0,Homme,
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,40 - 54 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque,3,gratuite,11.0,1.0,10.0,0.0,10.0,0.0,0.0,Homme,
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque,3,gratuite,11.0,0.0,11.0,0.0,11.0,0.0,0.0,Femme,
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,40 - 54 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque,13,gratuite,3.0,1.0,3.0,0.0,3.0,0.0,0.0,Femme,
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque,3,gratuite,4.0,1.0,4.0,0.0,4.0,0.0,0.0,Femme,
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,03 - 5 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque,2,gratuite,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Femme,
2018,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,03 - 5 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque,2,gratuite,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Femme,
2018,prêt,Emprunteur,Emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,11 - 14 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque Plus (5 €),1,payante,6.0,0.0,6.0,4.0,2.0,0.0,0.0,Femme,
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,15 - 17 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque,0,gratuite,2.0,0.0,2.0,0.0,2.0,0.0,0.0,Homme,
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,65 ans et plus,65 - 79 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque,2,gratuite,2.0,2.0,2.0,0.0,2.0,0.0,0.0,Homme,
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,30 - 39 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque,1,gratuite,2.0,0.0,2.0,0.0,2.0,0.0,0.0,Femme,
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,20 - 24 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque,0,gratuite,2.0,0.0,2.0,0.0,2.0,0.0,0.0,Femme,
2018,prêt + postes,Emprunteur,Emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,15 - 17 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque Plus (5 €),7,payante,10.0,1.0,9.0,1.0,8.0,0.0,0.0,Homme,
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,30 - 39 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque,6,gratuite,10.0,0.0,10.0,0.0,10.0,0.0,0.0,Homme,
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,11 - 14 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque,4,gratuite,5.0,1.0,4.0,0.0,4.0,0.0,0.0,Femme,
2018,prêt,Emprunteur,Emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,11 - 14 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque Plus (5 €),10,payante,13.0,0.0,13.0,1.0,12.0,0.0,0.0,Homme,
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,65 ans et plus,80 ans et plus,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque,8,gratuite,10.0,0.0,10.0,0.0,10.0,0.0,0.0,Femme,
2018,prêt,Emprunteur,Emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,40 - 54 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque,13,gratuite,14.0,0.0,14.0,13.0,1.0,0.0,0.0,Homme,
2018,prêt,Emprunteur,Emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,40 - 54 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque,4,gratuite,8.0,0.0,8.0,1.0,7.0,0.0,0.0,Homme,
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,30 - 39 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque,0,gratuite,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Femme,
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,55 - 64 ans,Roubaisien,595121102.0,TROIS PONTS SUD,ROUBAIX,,,Médiathèque,9,gratuite,8.0,2.0,6.0,0.0,6.0,0.0,0.0,Femme,"50.6838448476,3.20182368985"
2018,postes + wifi,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Utilisateur Wifi,15 - 24 ans,18 - 19 ans,Roubaisien,595121102.0,TROIS PONTS SUD,ROUBAIX,,,Médiathèque,1,gratuite,9.0,8.0,0.0,0.0,0.0,0.0,1.0,Femme,"50.6838448476,3.20182368985"
2018,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,55 - 64 ans,Roubaisien,595121102.0,TROIS PONTS SUD,ROUBAIX,,,Médiathèque,0,gratuite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.6838448476,3.20182368985"
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,15 - 17 ans,Roubaisien,595121102.0,TROIS PONTS SUD,ROUBAIX,,,Médiathèque,5,gratuite,2.0,1.0,1.0,0.0,1.0,0.0,0.0,Femme,"50.6838448476,3.20182368985"
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,40 - 54 ans,Roubaisien,595121102.0,TROIS PONTS SUD,ROUBAIX,,,Médiathèque,7,gratuite,4.0,1.0,3.0,0.0,3.0,0.0,0.0,Femme,"50.6838448476,3.20182368985"
2018,prêt + étude + postes + wifi,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Utilisateur Salle d'étude,Utilisateur postes informatiques,Utilisateur Wifi,25 - 64 ans,25 - 29 ans,Roubaisien,595121102.0,TROIS PONTS SUD,ROUBAIX,,,Médiathèque,0,gratuite,37.0,30.0,7.0,0.0,7.0,1.0,12.0,Femme,"50.6838448476,3.20182368985"
2018,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,20 - 24 ans,Roubaisien,595121102.0,TROIS PONTS SUD,ROUBAIX,,,Médiathèque,7,gratuite,15.0,15.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.6838448476,3.20182368985"
2018,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,65 ans et plus,65 - 79 ans,Roubaisien,595121102.0,TROIS PONTS SUD,ROUBAIX,,,Médiathèque,0,gratuite,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Homme,"50.6838448476,3.20182368985"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,20 - 24 ans,Roubaisien,595121102.0,TROIS PONTS SUD,ROUBAIX,,,Médiathèque,3,gratuite,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Femme,"50.6838448476,3.20182368985"
2018,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,15 - 17 ans,Roubaisien,595121102.0,TROIS PONTS SUD,ROUBAIX,,,Médiathèque,2,gratuite,6.0,6.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.6838448476,3.20182368985"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,25 - 29 ans,Roubaisien,595121102.0,TROIS PONTS SUD,ROUBAIX,,,Médiathèque,13,gratuite,3.0,0.0,3.0,0.0,3.0,0.0,0.0,Femme,"50.6838448476,3.20182368985"
2018,prêt,Emprunteur,Emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595121102.0,TROIS PONTS SUD,ROUBAIX,,,Médiathèque,3,gratuite,17.0,0.0,17.0,16.0,1.0,0.0,0.0,Homme,"50.6838448476,3.20182368985"
2018,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,20 - 24 ans,Roubaisien,595121102.0,TROIS PONTS SUD,ROUBAIX,,,Consultation sur place,0,gratuite,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Homme,"50.6838448476,3.20182368985"
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,40 - 54 ans,Roubaisien,595121102.0,TROIS PONTS SUD,ROUBAIX,,,Médiathèque Plus (5 €),0,payante,103.0,101.0,67.0,0.0,67.0,0.0,0.0,Homme,"50.6838448476,3.20182368985"
2018,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,15 - 17 ans,Roubaisien,595121102.0,TROIS PONTS SUD,ROUBAIX,,,Médiathèque,8,gratuite,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Homme,"50.6838448476,3.20182368985"
2018,prêt + postes + wifi,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Utilisateur Wifi,25 - 64 ans,55 - 64 ans,Roubaisien,595121102.0,TROIS PONTS SUD,ROUBAIX,,,Médiathèque,0,gratuite,21.0,3.0,13.0,0.0,13.0,0.0,14.0,Homme,"50.6838448476,3.20182368985"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,30 - 39 ans,Roubaisien,595121102.0,TROIS PONTS SUD,ROUBAIX,,,Médiathèque,0,gratuite,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Femme,"50.6838448476,3.20182368985"
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,15 - 17 ans,Roubaisien,595121102.0,TROIS PONTS SUD,ROUBAIX,Nouveaux habitants,,Médiathèque,3,gratuite,17.0,12.0,6.0,0.0,6.0,0.0,0.0,Homme,"50.6838448476,3.20182368985"
2018,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595121102.0,TROIS PONTS SUD,ROUBAIX,Visite de classe,,Médiathèque,0,gratuite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Homme,"50.6838448476,3.20182368985"
2018,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,18 - 19 ans,Roubaisien,595121102.0,TROIS PONTS SUD,ROUBAIX,,,Consultation sur place,2,gratuite,30.0,30.0,0.0,0.0,0.0,0.0,0.0,Homme,"50.6838448476,3.20182368985"
2018,postes + wifi,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Utilisateur Wifi,15 - 24 ans,15 - 17 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque,7,gratuite,2.0,1.0,0.0,0.0,0.0,0.0,1.0,Homme,
2018,prêt + postes + wifi,Emprunteur,Emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Utilisateur Wifi,15 - 24 ans,18 - 19 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,Arrêt Bus Boulevard de Fourmies,Médiathèque,13,gratuite,11.0,1.0,10.0,1.0,9.0,0.0,1.0,Femme,
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,Arrêt Bus Boulevard de Fourmies,Médiathèque,5,gratuite,5.0,3.0,4.0,0.0,4.0,0.0,0.0,Femme,
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,11 - 14 ans,Roubaisien,595121103.0,SARTEL,ROUBAIX,Action éducative,,Médiathèque,4,gratuite,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Femme,"50.6863275761,3.20835001586"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,40 - 54 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,Arrêt Bus Boulevard de Fourmies,Médiathèque,12,gratuite,12.0,0.0,12.0,0.0,12.0,0.0,0.0,Femme,
2018,prêt,Emprunteur,Emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,03 - 5 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,Arrêt Bus Place du Travail,Médiathèque,0,gratuite,5.0,0.0,5.0,1.0,4.0,0.0,0.0,Femme,
2018,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,0 - 2 ans,Roubaisien,595121103.0,SARTEL,ROUBAIX,,,Médiathèque,0,gratuite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Homme,"50.6863275761,3.20835001586"
2018,prêt,Emprunteur,Emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,11 - 14 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,Arrêt Bus Place du Travail,Médiathèque,0,gratuite,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Femme,
2018,prêt + postes + wifi,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Utilisateur Wifi,15 - 24 ans,15 - 17 ans,Roubaisien,595121103.0,SARTEL,ROUBAIX,,,Médiathèque,3,gratuite,6.0,2.0,2.0,0.0,2.0,0.0,3.0,Femme,"50.6863275761,3.20835001586"
2018,prêt,Emprunteur,Emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,65 ans et plus,80 ans et plus,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,Arrêt Bus Rue Louis Braille,Médiathèque,13,gratuite,12.0,0.0,12.0,11.0,1.0,0.0,0.0,Femme,
2018,prêt + postes + wifi,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Utilisateur Wifi,15 - 24 ans,18 - 19 ans,Roubaisien,595121103.0,SARTEL,ROUBAIX,,,Médiathèque Plus (5 €),0,payante,5.0,4.0,1.0,0.0,1.0,0.0,1.0,Femme,"50.6863275761,3.20835001586"
2018,prêt,Emprunteur,Emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,Arrêt Bus Rue Louis Braille,Médiathèque,0,gratuite,2.0,0.0,2.0,2.0,0.0,0.0,0.0,Homme,
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,25 - 29 ans,Roubaisien,595121103.0,SARTEL,ROUBAIX,,,Médiathèque,7,gratuite,4.0,0.0,4.0,0.0,4.0,0.0,0.0,Femme,"50.6863275761,3.20835001586"
2018,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,11 - 14 ans,Roubaisien,595121202.0,JUSTICE,ROUBAIX,Action éducative,,Médiathèque,3,gratuite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.677695068,3.20089726219"
2018,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,40 - 54 ans,Roubaisien,595121103.0,SARTEL,ROUBAIX,,,Médiathèque,2,gratuite,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Homme,"50.6863275761,3.20835001586"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595121202.0,JUSTICE,ROUBAIX,Action éducative,,Médiathèque,2,gratuite,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Femme,"50.677695068,3.20089726219"
2018,étude,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,20 - 24 ans,Roubaisien,595121103.0,SARTEL,ROUBAIX,,,Consultation sur place,4,gratuite,3.0,0.0,0.0,0.0,0.0,3.0,0.0,Homme,"50.6863275761,3.20835001586"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,40 - 54 ans,Roubaisien,595121202.0,JUSTICE,ROUBAIX,,,Médiathèque,0,gratuite,2.0,0.0,2.0,0.0,2.0,0.0,0.0,Homme,"50.677695068,3.20089726219"
2018,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595121202.0,JUSTICE,ROUBAIX,,,Médiathèque,3,gratuite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.677695068,3.20089726219"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595121202.0,JUSTICE,ROUBAIX,,,Médiathèque Plus (5 €),3,payante,2.0,0.0,2.0,0.0,2.0,0.0,0.0,Femme,"50.677695068,3.20089726219"
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,15 - 17 ans,Roubaisien,595121202.0,JUSTICE,ROUBAIX,,,Médiathèque,2,gratuite,4.0,2.0,2.0,0.0,2.0,0.0,0.0,Femme,"50.677695068,3.20089726219"
2018,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,55 - 64 ans,Roubaisien,595121202.0,JUSTICE,ROUBAIX,,,Médiathèque,0,gratuite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Homme,"50.677695068,3.20089726219"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595121202.0,JUSTICE,ROUBAIX,,,Médiathèque,5,gratuite,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Homme,"50.677695068,3.20089726219"
2018,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,18 - 19 ans,Roubaisien,595121202.0,JUSTICE,ROUBAIX,,,Médiathèque,2,gratuite,3.0,3.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.677695068,3.20089726219"
2018,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,0 - 2 ans,Roubaisien,595121202.0,JUSTICE,ROUBAIX,,,Médiathèque,0,gratuite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.677695068,3.20089726219"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,30 - 39 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque,0,gratuite,4.0,0.0,4.0,0.0,4.0,0.0,0.0,Femme,
2018,wifi,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Utilisateur Wifi,25 - 64 ans,25 - 29 ans,Roubaisien,595121202.0,JUSTICE,ROUBAIX,,,Consultation sur place,0,gratuite,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Femme,"50.677695068,3.20089726219"
2018,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,40 - 54 ans,Roubaisien,595121202.0,JUSTICE,ROUBAIX,,,Médiathèque,0,gratuite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Homme,"50.677695068,3.20089726219"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,15 - 17 ans,Roubaisien,595121201.0,LINNE CHEMIN NEUF,ROUBAIX,,,Médiathèque,12,gratuite,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Homme,
2018,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,30 - 39 ans,Roubaisien,595121202.0,JUSTICE,ROUBAIX,,,Médiathèque,4,gratuite,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.677695068,3.20089726219"
